2021 super output area - lower layer,mnemonic,Total: All usual residents aged 16 years and over,%,No qualifications,%,Level 1 and entry level qualifications,%,Level 2 qualifications,%,Apprenticeship,%,Level 3 qualifications,%,Level 4 qualifications or above,%,Other qualifications,%
North Northamptonshire 038A,E01027322,1040,100,162,15.6,111,10.7,157,15.1,67,6.4,177,17,344,33.1,22,2.1
North Northamptonshire 038B,E01027323,1610,100,220,13.7,160,9.9,274,17,111,6.9,285,17.7,525,32.6,35,2.2
North Northamptonshire 038C,E01027324,964,100,124,12.9,120,12.4,156,16.2,81,8.4,156,16.2,298,30.9,29,3
North Northamptonshire 038D,E01027325,1570,100,230,14.6,168,10.7,230,14.6,96,6.1,284,18.1,531,33.8,31,2
North Northamptonshire 038E,E01027329,1538,100,291,18.9,159,10.3,193,12.5,114,7.4,255,16.6,480,31.2,46,3
North Northamptonshire 038F,E01027353,1824,100,349,19.1,203,11.1,268,14.7,122,6.7,277,15.2,544,29.8,61,3.3
North Northamptonshire 039A,E01027066,1746,100,300,17.2,224,12.8,263,15.1,114,6.5,307,17.6,508,29.1,30,1.7
North Northamptonshire 039B,E01027067,1469,100,332,22.6,177,12,212,14.4,139,9.5,260,17.7,311,21.2,38,2.6
North Northamptonshire 039C,E01027070,1304,100,285,21.9,175,13.4,177,13.6,94,7.2,247,18.9,285,21.9,41,3.1
North Northamptonshire 039D,E01027071,1205,100,242,20.1,158,13.1,188,15.6,97,8,243,20.2,243,20.2,34,2.8
North Northamptonshire 039E,E01035409,1182,100,136,11.5,146,12.4,212,17.9,73,6.2,228,19.3,365,30.9,22,1.9
North Northamptonshire 039F,E01035410,1384,100,173,12.5,173,12.5,228,16.5,98,7.1,301,21.7,382,27.6,29,2.1
North Northamptonshire 040A,E01027335,1245,100,288,23.1,143,11.5,139,11.2,109,8.8,213,17.1,317,25.5,36,2.9
North Northamptonshire 040B,E01027336,1335,100,327,24.5,167,12.5,208,15.6,72,5.4,212,15.9,308,23.1,41,3.1
North Northamptonshire 040C,E01027337,1500,100,318,21.2,198,13.2,228,15.2,126,8.4,257,17.1,337,22.5,36,2.4
North Northamptonshire 040D,E01027348,1814,100,319,17.6,188,10.4,252,13.9,131,7.2,298,16.4,574,31.6,52,2.9
North Northamptonshire 040E,E01027354,2020,100,310,15.3,224,11.1,286,14.2,127,6.3,355,17.6,676,33.5,42,2.1
North Northamptonshire 040F,E01027355,1348,100,188,13.9,160,11.9,203,15.1,92,6.8,275,20.4,388,28.8,42,3.1
